Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,cars_price_max
KIA,SPORTAGE NIGHTFALL EDITION,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,"$33,000 ",Petrol,5,350 Nm,"171.600,00"
HONDA,CIVIC TYPE R,I4,"1,996 cc",315 hp,272 km/h,5.7 sec,"$44,000 ",Petrol,5,400 Nm,"228.800,00"
KIA,SPORTAGE PHEV,I4 + ELECTRIC,"1,600 cc / 13.8 kwh",261 hp,180 km/h,8.0 sec,"$41,000 ",Plug-in Hybrid,5,350 Nm,"213.200,00"
KIA,SPORTAGE 2024(BASE MODEL),I4,"2,480 cc",187 hp,200 km/h,8.0 sec,"$26,000 ",Petrol,5,250 Nm,"135.200,00"
KIA,SPORTAGE 2024(TOP TRIM),I4,"1,998 cc",240 hp,210 km/h,6.7 sec,"$38,000 ",Petrol,5,400 Nm,"197.600,00"
KIA,SPORTAGE 2024(BASE AWD),I4,"2,480 cc",187 hp,200 km/h,8.3 sec,"$29,000 ",Petrol/AWD,5,250 Nm,"150.800,00"
KIA,SPORTAGE X-LINE,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,"$32,500 ",Petrol,5,350 Nm,"169.000,00"
KIA,SPORTAGE 2024(S TRIM),I4,"2,480 cc",187 hp,200 km/h,8.2 sec,"$28,000 ",Petrol,5,250 Nm,"145.600,00"
HONDA,ACCORD,I4,"1,498 cc",192 hp,201 km/h,7.1 sec,"$29,400 ",Petrol,5,370 Nm,"152.880,00"
KIA,SPORTAGE 2024(HYBRID AWD),I4 + ELECTRIC,"1,600 cc / 1.49 kwh",227 hp,180 km/h,8.0 sec,"$37,000 ",Hybrid,5,350 Nm,"192.400,00"
KIA,SPORTAGE 2024(PLUG-IN HYBRID AWD),I4 + ELECTRIC,"1,598 cc / 13.8 kwh",261 hp,180 km/h,7.9 sec,"$42,000 ",Plug-in Hybrid,5,350 Nm,"218.400,00"
KIA,SPORTAGE 2024(X-PRO),I4,"2,480 cc",187 hp,200 km/h,8.1 sec,"$36,000 ",Petrol,5,400 Nm,"187.200,00"
KIA,SPORTAGE 2024(X-PRO PRESTIGE),I4,"2,480 cc",187 hp,200 km/h,8.1 sec,"$38,000 ",Petrol,5,400 Nm,"197.600,00"
KIA,SPORTAGE 2024(SX TURBO AWD),I4,"1,998 cc",240 hp,210 km/h,6.5 sec,"$40,000 ",Petrol/AWD,5,400 Nm,"208.000,00"
KIA  ,SPORTAGE 2024(BASE FWD),I4,"2,480 cc",187 hp,200 km/h,8.5 sec,"$26,500 ",Petrol,5,250 Nm,"137.800,00"
HONDA,CR-V,I4,"1,498 cc",190 hp,186 km/h,8.2 sec,"$30,000 ",Petrol/Hybrid,5,400 Nm,"156.000,00"
HONDA,PILOT,V6,"3,471 cc",285 hp,209 km/h,6.3 sec,"$40,000 ",Petrol,8,360 Nm,"208.000,00"
HONDA,CIVIC HATCHBACK,I4,"1,498 cc",180 hp,220 km/h,6.8 sec,"$26,350 ",Petrol,5,300 Nm,"137.020,00"
TOYOTA,CAMRY,V6,"3,500 cc",301 hp,220 km/h,6.0 sec,"$27,000 ",Petrol/Hybrid,5,250 Nm,"140.400,00"
TOYOTA,COROLLA,I4,"1,798 cc",139 hp,180 km/h,9.4 sec,"$22,500 ",Petrol/Hybrid,5,200 Nm,"117.000,00"
TOYOTA,PRIUS,I4,"1,798 cc",121 hp,180 km/h,10.5 sec,"$26,700 ",Hybrid,5,142 Nm,"138.840,00"
TOYOTA,RAV4,I4,"2,494 cc",203 hp,200 km/h,8.1 sec,"$27,100 ",Petrol/Hybrid,5,400 Nm,"140.920,00"
TOYOTA,HIGHLANDER,V6,"3,456 cc",295 hp,220 km/h,7.2 sec,"$38,400 ",Petrol/Hybrid,7,370 Nm,"199.680,00"
TOYOTA,4RUNNER ,V6,"3,956 cc",270 hp,200 km/h,7.5 sec,"$37,400 ",Petrol,5,400 Nm,"194.480,00"
TOYOTA,TACOMA,I4,"2,694 cc",159 hp,180 km/h,9.5 sec,"$26,400 ",Petrol,5,400 Nm,"137.280,00"
TOYOTA,TUNDRA,V8,"5,663 cc",381 hp,220 km/h,6.7 sec,"$39,900 ",Petrol,5,650 Nm,"207.480,00"
TOYOTA,AVALON,V6,"3,456 cc",301 hp,220 km/h,6.9 sec,"$41,400 ",Petrol,5,400 Nm,"215.280,00"
TOYOTA,MIRAI,I4,"1,798 cc",151 hp,180 km/h,9.2 sec,"$52,400 ",Hydrogen,5,335 Nm,"272.480,00"
TOYOTA,SIENNA,V6,"2,494 cc",245 hp,190 km/h,8.0 sec,"$44,150 ",Petrol/Hybrid,7,360 Nm,"229.580,00"
TOYOTA,VENZA,I4,"2,494 cc",219 hp,200 km/h,7.5 sec,"$33,400 ",Hybrid,5,400 Nm,"173.680,00"
TOYOTA,HIGHLANDER HYBRID,V6,"3,456 cc",240 hp,220 km/h,8.2 sec,"$40,400 ",Hybrid,7,350 Nm,"210.080,00"
TOYOTA,LAND CRUISER PRADO,V6,"3,956 cc",282 hp,200 km/h,7.2 sec,"$49,400 ",Petrol/Diesel,7,450 Nm,"256.880,00"
TOYOTA,TUNDRA HYBRID,V6,"3,456 cc",344 hp,220 km/h,6.2 sec,"$43,400 ",Hybrid,5,650 Nm,"225.680,00"
TOYOTA,YARIS,I4,"1,496 cc",106 hp,180 km/h,11.2 sec,"$18,400 ",Petrol,5,150 Nm,"95.680,00"
TOYOTA,C-HR,I4,"1,986 cc",144 hp,200 km/h,10.2 sec,"$24,400 ",Petrol/Hybrid,5,250 Nm,"126.880,00"
TOYOTA,BZ4X,ELECTRIC,"64.8 kwh (Base Model),72.8 kwh (Higher End Model",218 hp,200 km/h,7.5 sec,"$43,400 ",Electric,5,330 Nm,"225.680,00"
TOYOTA,CROWN,HYBRID,"2,494 cc",236 hp,200 km/h,7.6 sec,"$38,400 ",Hybrid,5,400 Nm,"199.680,00"
TOYOTA,MR2,I4,"1,986 cc",168 hp,200 km/h,6.9 sec,"$29,000 ",Petrol,2,400 Nm,"150.800,00"
TOYOTA,CELICA,I4,"1,986 cc",140 hp,200 km/h,8.5 sec,"$25,000 ",Petrol,5,250 Nm,"130.000,00"
HONDA,CITY,I4,"1,497 cc",119 hp,180 km/h,10.2 sec,"$15,400 ",Petrol/Hybrid,5,145 Nm,"80.080,00"
HONDA,CIVIC,I4,"1,996 cc",158 hp,200 km/h,8.5 sec,"$20,400 ",Petrol,5,400 Nm,"106.080,00"
HYUNDAI,I10,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",87 hp,160 km/h,12.2 sec,"$12,400 ",Petrol,5,120 Nm,"64.480,00"
HYUNDAI,I20,"1.4L,4-CYLINDER,INLINE-4(I4)","1,396 cc",99 hp,180 km/h,10.5 sec,"$15,400 ",Petrol/Hybrid,5,250 Nm,"80.080,00"
HYUNDAI,ELANTRA,"2.0L,4-CYLINDER,INLINE-4(I4)","1,999 cc",147 hp,200 km/h,9.5 sec,"$18,400 ",Petrol/Hybrid,5,250 Nm,"95.680,00"
MAHINDRA,XUV500,"2.2L,4-CYLINDER,INLINE-4(I4)","2,179 cc",155 hp,180 km/h,10.5 sec,"$18,400 ",Diesel,7,400 Nm,"95.680,00"
MAHINDRA,SCORPIO,"2.2L,4-CYLINDER,INLINE-4(I4)","2,179 cc",140 hp,160 km/h,11.2 sec,"$16,400 ",Diesel,7,280 Nm,"85.280,00"
MAHINDRA,THAR,"2.0L,4-CYLINDER,INLINE-4(I4)","1,997 cc",150 hp,180 km/h,10.5 sec,"$20,400 ",Petrol/Diesel,4,320 Nm,"106.080,00"
MARUTI SUZUKI,SWIFT,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",83 hp,160 km/h,12.2 sec,"$10,400 ",Petrol,5,113 Nm,"54.080,00"
MARUTI SUZUKI,DZIRE,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",83 hp,160 km/h,12.2 sec,"$11,400 ",Petrol/Diesel,5,113 Nm,"59.280,00"
MARUTI SUZUKI,BREZZA,"1.5L,4-CYLINDER,INLINE(I4)","1,462 cc",103 hp,180 km/h,11.5 sec,"$14,400 ",Petrol,5,200 Nm,"74.880,00"
TOYOTA,PRIUS PRIME,"2.0L,4-CYLINDER,WITH HYBRID SYSTEM","1,998 cc",220 hp,180 km/h,6.7 sec,"$31,100 ",Plug-in Hybrid,5,220 Nm,"161.720,00"
TOYOTA,GR COROLLA,"1.6L,TURBOCHARGED INLINE-3","1,618 cc",300 hp,230 km/h,5. 0 sec,"$36,995 ",Petrol,5,370 Nm,"192.374,00"
TOYOTA,LAND CRUISER 300,"3.3L,V6,TWIN TURBO DIESEL","3,346 cc",305 hp,210 km/h,6.8 sec,"$58,500 ",Petrol/Diesel,7,650 Nm,"304.200,00"
TOYOTA,TUNDRA I-FORCE MAX,"3.5L,V6,HYBRID TWIN-TURBO","3,445 cc",437 hp,180 km/h,6.2 sec,"$56,000 ",Hybrid,5,750 Nm,"291.200,00"
TOYOTA,COROLLA HATCHBACK XSE,"2.0L,INLINE-4","1,987 cc",169 hp,190 km/h,8.2 sec,"$25,390 ",Petrol,5,250 Nm,"132.028,00"
TOYOTA,MIRAI,"HYDROGEN FUEL CELL,ELECTRIC MOTOR",1.24 kwh,152 hp,180 km/h,9.0 sec,"$49,500 ",Hydrogen,5,335 Nm,"257.400,00"
TOYOTA,HILUX GR SPORT,"2.8L,TURBO,DIESEL","2,755 cc",224 hp,170 km/h,10.0 sec,"$50,000 ",Petrol/Diesel,5,500 Nm,"260.000,00"
TOYOTA,ALPHARD EXECUTIVE LOUNGE,"2.5L,INLINE-4,HYBRID,OR 3.5L,V6","HYBRID(2,494 cc),V6(3,456 cc)",296 hp,180 km/h,8.5 sec,"$60,000 ",Petrol,7,400 Nm,"312.000,00"
TOYOTA,FORTUNER GR SPORT,"2.8L,TURBO,DIESEL","2,755 cc",204 hp,175 km/h,10.5 sec,"$55,000 ",Diesel/Petrol,7,500 Nm,"286.000,00"
TOYOTA,INNOVA HYCROSS,2.0L HYBRID,"1,987 cc",184 hp,165 km/h,9.5 sec,"$40,000 ",Hybrid,7,250 Nm,"208.000,00"
TOYOTA,COASTER,"4.0L,DIESEL","4,009 cc",134 hp,120 km/h,,"$70,000 ",Diesel,20,500 Nm,"364.000,00"
TOYOTA,URBAN CRUISER TAISOR,"1.5L,HYBRID","1,490 cc",114 hp,170 km/h,11 sec,"$25,000 ",Petrol,5,130 Nm,"130.000,00"
TOYOTA,AYGO X,"1.0L,INLINE-3",998 cc,71 hp,160 km/h,14.8 sec,"$18,000 ",Petrol,4,93 Nm,"93.600,00"
TOYOTA,HILUX REVO ROCCO,"2.8L,TURBO,DIESEL","2,755 cc",204 hp ,175 km/h,10.0 sec,"$50,000 ",Diesel,5,500 Nm,"260.000,00"
TOYOTA,PROACE VERSO ELECTRIC,ELECTRIC MOTOR,75 KWH,136 hp,130 km/h,13.5 sec,"$55,000 ",Electric,7,280 Nm,"286.000,00"
TOYOTA,CENTURY SUV,"3.5L,V6,PLUG IN HYBRID","3,456 cc",406 hp,200 km/h,6.0 sec,"$170,000 ",Petrol,5,500 Nm,"884.000,00"
TOYOTA,COROLLA SEDAN HYBRID,"1.8L,HYBRID","1,798 cc",134 hp,180 km/h,10.0 sec,"$24,000 ",Hybrid,5,300 Nm,"124.800,00"
TOYOTA,BZ3,ELECTRIC MOTOR,65 KWH,241 hp,160 km/h,7.5 sec,"$35,000 ",Electric,5,340 Nm,"182.000,00"
TOYOTA,GR YARIS,"1.6L,TURBOCHARGED INLINE-3","1,618 cc",268 hp,230 km/h,5.5 sec,"$45,000 ",Petrol,4,390 Nm,"234.000,00"
HYUNDAI,SANTA FE,1.6L PETROL + PLUG IN HYBRID SYSTEM,"1,600 cc",253 hp,180 km/h,9.3 sec,"$50,000 ",Petrol/Hybrid,7,420 Nm,"260.000,00"
HYUNDAI,IONIQ 5,ELECTRIC MOTOR,72.6 KWH,225 hp,185 km/h,7.4 sec,"$41,000 ",Electric,5,350 Nm,"213.200,00"
HYUNDAI,Santa Cruz,2.5L Turbocharged Inline-4,"2,500 cc",281 hp,215 km/h,6.5 sec,"$40,799 ",Petrol,5,400 Nm,"212.154,80"
HYUNDAI,Kona,1.6L PETROL ,"1,591 cc",147 hp,185 km/h,10. 5 sec,"$20,500 ",Petrol/EV,5,400 Nm,"106.600,00"
HYUNDAI,Elantra,2.0L Inline-4,"2,000 cc",147 hp,210 km/h,8.3 sec,"$19,950 ",Petrol/Hybrid,5,250 Nm,"103.740,00"
Nissan,Urvan,2.5L Turbo Diese,,2488 cc,140 km/h,14.0 sec,"$28,000 ",Diesel,15,356 Nm,"145.600,00"
HYUNDAI,IONIQ 6,Electric Motor,53.6 kwh(Standard Range) / 77.4 kwh(Long Range),320 hp,185 km/h,5.2 sec,"$41,450 ",Electric,5,350 Nm,"215.540,00"
HYUNDAI,Tucson,2.5L Inline-4,"2,500 cc",187 hp,180 km/h,6.1 sec,"$30,500 ",Petrol/Hybrid,5,400 Nm,"158.600,00"
HYUNDAI,Palisade,3.8L V6,"3,800 cc",291 hp,240 km/h,6.3 sec,"$52,000 ",Petrol,7,355 Nm,"270.400,00"
HYUNDAI,Sonata,2.5L Inline-4,"2,500 cc",191 hp,240 km/h,8 sec,"$25,000 ",Petrol/Hybrid,5,250 Nm,"130.000,00"
HYUNDAI,Accent,1.6L Inline-4,"1,600 cc",120 hp,180 km/h,9.8 sec,"$15,000 ",Petrol,5,151 Nm,"78.000,00"
HYUNDAI,Venue,1.6L Inline-4,"1,600 cc",121 hp,180 km/h,9.5 sec,"$18,000 ",Petrol,5,240 Nm,"93.600,00"
HYUNDAI,KONA Electric,Electric Motor,39.2 kwh,200 hp,200 km/h,6.1 sec,"$40,000 ",Electric,5,395 Nm,"208.000,00"
HYUNDAI,Veloster,2.0L Inline-4,"2,000 cc",275 hp,220 km/h,6 sec,"$25,000 ",Petrol,4,264 Nm,"130.000,00"
HYUNDAI,NEXO,Electric Motor,1.56 kwh,161 hp,180 km/h,7.8 sec,"$38,000 ",Hydrogen,5,400 Nm,"197.600,00"
HYUNDAI,Ioniq,1.6L Inline-4,"1,600 cc",139 hp,160 km/h,8.5 sec,"$18,000 ",Hybrid/Electric,5,295 Nm,"93.600,00"
HYUNDAI,Genesis,3.8L V6,"3,800 cc",291 hp,240 km/h,6.3 sec,"$52,000 ",Petrol,5,400 Nm,"270.400,00"
HYUNDAI,Azera,3.3L V6,"3,300 cc",278 hp,240 km/h,6.5 sec,"$55,000 ",Petrol,5,250 Nm,"286.000,00"
HYUNDAI,Equus,3.3L V6,"3,300 cc",278 hp,240 km/h,6.5 sec,"$55,000 ",Petrol,5,400 Nm,"286.000,00"
HYUNDAI,Tiburon,2.0L Inline-4,"2,000 cc",160 hp,200 km/h,8.2 sec,"$19,000 ",Petrol,4,320 Nm,"98.800,00"
HYUNDAI,Elantra GT,1.6L Turbo GDI 4-cylinder,"2,000 cc",160 hp,200 km/h,8.3 sec,"$22,000 ",Petrol,5,320 Nm,"114.400,00"
Volkswagen,Golf,1.5L Turbo I4 / Electric,1498 cc / 40 - 58 kWh,110 - 320 hp,210 km/h,8.5 sec,"$23,000 ",Petrol,5,250 Nm,"119.600,00"
Volkswagen,Passat,2.0L Turbo I4,1984 cc,150 - 280 hp,210 km/h,7.8 sec,"$25,000 ",Petrol,5,250 Nm,"130.000,00"
Volkswagen,Tiguan,2.0L Turbo I4,1984 cc,150 - 230 hp,209 km/h,8.5 sec,"$28,505 ","Petrol, Hybrid",7,300 Nm,"148.226,00"
Volkswagen,Jetta,1.5L Turbo I4,1498 cc,150 - 228 hp,210 km/h,7.7 sec,"$21,995 ",Petrol,5,250 Nm,"114.374,00"
Volkswagen,Polo,1.0L Turbo I3 / 1.6L Diesel,999 cc / 1598 cc,80 - 200 hp,190 km/h,9.5 sec,"$18,000 ",Petrol,5,175 Nm,"93.600,00"
Volkswagen,Arteon,2.0L Turbo I4,1984 cc,150 - 280 hp,250 km/h,5.6 sec,"$46,000 ",Petrol,5,350 Nm,"239.200,00"
Volkswagen,ID.4,Electric,77 kWh,201 - 302 hp,160 km/h,7.8 sec,"$39,735 ",Electric,5,310 Nm,"206.622,00"
Volkswagen,Up!,Electric,32.3 kWh,82 hp,160 km/h,13.0 sec,"$15,000 ",Petrol,4,95 Nm,"78.000,00"
Volkswagen,Touareg,3.0L V6 Turbo Diesel / 4.0L V8,2967 cc / 3956 cc,231 - 500 hp,235 km/h,5.9 sec,"$55,000 ","Petrol, Diesel",5,600 Nm,"286.000,00"
Volkswagen,Scirocco,2.0L Turbo I4,1984 cc,125 - 280 hp,233 km/h,6.0 sec,"$35,000 ",Petrol,4,350 Nm,"182.000,00"
Volkswagen,Beetle,2.0L Turbo I4,1984 cc,105 - 210 hp,205 km/h,7.0 sec,"$20,000 ",Petrol,4,240 Nm,"104.000,00"
Volkswagen,Amarok,3.0L V6 Turbo Diesel,2967 cc,163 - 258 hp,180 km/h,7.9 sec,"$40,000 ",Diesel,5,550 Nm,"208.000,00"
Volkswagen,T-Roc,2.0L Turbo I4,1984 cc,115 - 300 hp,205 km/h,7.2 sec,"$30,000 ",Petrol,5,320 Nm,"156.000,00"
Volkswagen,Sharan,2.0L Turbo I4,1984 cc,150 - 220 hp,200 km/h,9.3 sec,"$33,000 ","Petrol, Diesel",7,280 Nm,"171.600,00"
Volkswagen,Caddy,1.5L Turbo I4,1498 cc,102 - 150 hp,185 km/h,10.5 sec,"$28,000 ","Petrol, Diesel",7,250 Nm,"145.600,00"
Nissan,NV1500,4.0L V6,3954 cc,261 hp,160 km/h,9.5 sec,"$33,000 ",Petrol,12,385 Nm,"171.600,00"
Volkswagen,Taigo,1.5L Turbo I4,1498 cc,95 - 150 hp,183 km/h,10.0 sec,"$24,000 ",Petrol,5,200 Nm,"124.800,00"
Volkswagen,California,2.0L Turbo I4,1984 cc,150 - 204 hp,180 km/h,13.0 sec,"$70,000 ",Diesel,7,340 Nm,"364.000,00"
Volkswagen,ID.3,Electric,58 - 77 kWh,204 hp,160 km/h,7.3 sec,"$35,000 ",Electric,5,310 Nm,"182.000,00"
Volkswagen,ID. Buzz,Electric,77 kWh,204 hp,145 km/h,10.2 sec,"$59,995 ",Electric,7,310 Nm,"311.974,00"
Volkswagen,Golf GTI,2.0L Turbo I4,1984 cc,245 hp,250 km/h,5.9 sec,"$31,965 ",Petrol,5,350 Nm,"166.218,00"
Volkswagen,Golf R,2.0L Turbo I4,1984 cc,315 hp,250 km/h,4.6 sec,"$44,640 ",Petrol,5,420 Nm,"232.128,00"
Volkswagen,Passat Alltrack,2.0L Turbo Diesel I4,1968 cc,190 - 240 hp,220 km/h,7.8 sec,"$36,000 ",Diesel,5,400 Nm,"187.200,00"
Volkswagen,Polo GTI,2.0L Turbo I4,1984 cc,204 hp,238 km/h,6.7 sec,"$28,000 ",Petrol,5,320 Nm,"145.600,00"
Volkswagen,Up! GTI,1.0L Turbo I3,999 cc,115 hp,196 km/h,8.8 sec,"$20,000 ",Petrol,4,200 Nm,"104.000,00"
Volkswagen,T-Cross,1.0L Turbo I3 / 1.5L Turbo I4,999 cc / 1498 cc,95 - 150 hp,200 km/h,10.2 sec,"$25,000 ",Petrol,5,250 Nm,"130.000,00"
Volkswagen,ID.5,Electric,77 kWh,174 - 299 hp,180 km/h,8.4 sec,"$45,000 ",Electric,5,310 Nm,"234.000,00"
Volkswagen,ID. Buzz Cargo,Electric,77 kWh,204 hp,145 km/h,10.2 sec,"$55,000 ",Electric,3,310 Nm,"286.000,00"
Volkswagen,Touareg R,Plug-in Hybrid V6,2995 cc,462 hp,250 km/h,5.1 sec,"$70,000 ",Hybrid,5,700 Nm,"364.000,00"
Volkswagen,Multivan,Plug-in Hybrid / Diesel I4,1395 cc / 1968 cc,150 - 218 hp,190 km/h,9.4 sec,"$50,000 ","Petrol, Hybrid",7,350 Nm,"260.000,00"
Volkswagen,Polo BlueMotion,1.2L Diesel I3,1199 cc,75 - 95 hp,190 km/h,10.5 sec,"$22,000 ",Diesel,5,250 Nm,"114.400,00"
Volkswagen,Golf Sportsvan,1.5L Turbo I4,1498 cc,130 - 150 hp,210 km/h,8.9 sec,"$30,000 ",Petrol,5,250 Nm,"156.000,00"
Volkswagen,Golf Alltrack,2.0L Turbo Diesel I4,1968 cc,147 - 200 hp,210 km/h,7.1 sec,"$35,000 ",Petrol,5,350 Nm,"182.000,00"
Volkswagen,Scirocco R,2.0L Turbo I4,1984 cc,280 hp,250 km/h,5.5 sec,"$40,000 ",Petrol,4,350 Nm,"208.000,00"
Volkswagen,Tiguan Allspace,2.0L Turbo I4,1984 cc,184 - 230 hp,215 km/h,7.6 sec,"$35,000 ",Petrol,7,320 Nm,"182.000,00"
Volkswagen,Arteon 4MOTION,2.0L Turbo I4,1984 cc,190 - 320 hp,250 km/h,5.6 sec,"$48,000 ",Petrol,5,350 Nm,"249.600,00"
Volkswagen,ID.4 GTX,Electric AWD,77 kWh,299 hp,180 km/h,6.2 sec,"$50,000 ",Electric,5,460 Nm,"260.000,00"
Volkswagen,ID.3 Pro,Electric,58 kWh,204 hp,160 km/h,7.3 sec,"$35,000 ",Electric,5,310 Nm,"182.000,00"
Volkswagen,Golf Variant,1.5L Turbo I4 / 2.0L Diesel I4,1498 cc / 1968 cc,130 - 150 hp,220 km/h,7.5 sec,"$32,000 ",Petrol,5,320 Nm,"166.400,00"
Volkswagen,Crafter,2.0L Turbo Diesel I4,1968 cc,102 - 177 hp,160 km/h,13.0 sec,"$40,000 ",Diesel,3,410 Nm,"208.000,00"
Volkswagen,Lupo,1.4L I3 Gas / 1.2L Diesel I3,1390 cc / 1199 cc,60 - 75 hp,170 km/h,14.3 sec,"$15,000 ",Petrol,4,120 Nm,"78.000,00"
Volkswagen,Corrado,2.9L VR6,2861 cc,190 hp,235 km/h,6.4 sec,"$25,000 ",Petrol,4,245 Nm,"130.000,00"
Volkswagen,Phaeton,3.0L V6 Diesel / 6.0L W12 Gas,2967 cc / 5998 cc,240 - 450 hp,250 km/h,6.1 sec,"$85,000 ",Petrol,5,560 Nm,"442.000,00"
Volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,1197 cc / 1984 cc,105 - 210 hp,217 km/h,8.4 sec,"$30,000 ",Petrol,4,200 Nm,"156.000,00"
Volkswagen,Santana,1.5L I4 Gas,1498 cc,110 hp,190 km/h,12.9 sec,"$15,000 ",Petrol,5,145 Nm,"78.000,00"
Volkswagen,Polo Vivo,1.4L I4 Gas / 1.6L I4 Gas,1390 cc / 1598 cc,85 - 105 hp,170 km/h,10.8 sec,"$14,000 ",Petrol,5,132 Nm,"72.800,00"
Volkswagen,Karmann Ghia,1.2L I4 Gas,1192 cc,34 - 60 hp,138 km/h,23.0 sec,"$25,000 ",Petrol,2,106 Nm,"130.000,00"
Volkswagen,Fox,1.2L I4 Gas / 1.4L I4 Gas,1198 cc / 1390 cc,55 - 75 hp,148 km/h,17.5 sec,"$12,000 ",Petrol,5,93 Nm,"62.400,00"
Volkswagen,Vento,1.6L I4 Gas / Diesel,1598 cc,105 - 110 hp,186 km/h,11.7 sec,"$18,000 ",Petrol,5,153 Nm,"93.600,00"
Volkswagen,Golf Electric,Electric,35.8 kWh,136 hp,140 km/h,10.4 sec,"$33,000 ",Electric,5,290 Nm,"171.600,00"
Volkswagen,Bora,1.6L I4 Gas / 1.9L I4 Diesel,1598 cc / 1896 cc,100 - 150 hp,200 km/h,9.4 sec,"$20,000 ",Petrol,5,220 Nm,"104.000,00"
Volkswagen,Teramont,2.0L I4 Turbo / 3.6L V6 Gas,1984 cc / 3597 cc,235 - 276 hp,190 km/h,8.6 sec,"$32,000 ",Petrol,7,350 Nm,"166.400,00"
Volkswagen,Taos,1.5L I4 Turbo,1498 cc,158 hp,193 km/h,8.4 sec,"$24,000 ",Petrol,5,250 Nm,"124.800,00"
Volkswagen,Up! Cabriolet,1.0L I3 Turbo,999 cc,82 - 115 hp,160 km/h,12.4 sec,"$18,000 ",Petrol,4,95 Nm,"93.600,00"
Volkswagen,T-Roc Cabriolet,1.0L I3 Turbo / 1.5L I4 Turbo,999 cc / 1498 cc,115 - 150 hp,205 km/h,9.6 sec,"$35,000 ",Petrol,4,250 Nm,"182.000,00"
Volkswagen,Passat CC,2.0L I4 Turbo,1984 cc,200 - 280 hp,240 km/h,7.3 sec,"$40,000 ",Petrol,5,280 Nm,"208.000,00"
Volkswagen,Transporter,2.0L I4 Turbo Diesel,1968 cc,102 - 204 hp,180 km/h,12.2 sec,"$35,000 ",Diesel,9,340 Nm,"182.000,00"
Volkswagen,Amarok V6,3.0L V6 Turbo Diesel,2967 cc,204 - 258 hp,191 km/h,7.9 sec,"$45,000 ",Diesel,5,580 Nm,"234.000,00"
Volkswagen,ID.2,Electric,~50 kWh (Estimate),~170 hp,160 km/h,8.0 sec,"$25,000 ",Electric,5,220 Nm,"130.000,00"
Volkswagen,Polo TDI,1.4L I4 Diesel / 1.6L Diesel,1390 cc / 1598 cc,75 - 105 hp,190 km/h,9.9 sec,"$20,000 ",Diesel,5,250 Nm,"104.000,00"
Volkswagen,Golf GTE,Plug-in Hybrid (1.4L I4 Turbo),1395 cc + Electric Motor,204 hp,222 km/h,7.6 sec,"$40,000 ",Hybrid,5,350 Nm,"208.000,00"
Volkswagen,Touareg V8,4.0L V8 Turbo Diesel,3956 cc,421 hp,250 km/h,4.9 sec,"$70,000 ",Petrol,5,770 Nm,"364.000,00"
Volkswagen,Beetle Dune,1.4L I4 Turbo,1395 cc,150 hp,200 km/h,7.5 sec,"$30,000 ",Petrol,4,250 Nm,"156.000,00"
Volkswagen,Passat B8,1.5L I4 Turbo / 2.0L Diesel,1498 cc / 1968 cc,150 - 280 hp,210 km/h,8.7 sec,"$28,000 ",Petrol,5,250 Nm,"145.600,00"
Volkswagen,ID.4 Pro S,Electric,77 kWh,201 hp,180 km/h,7.8 sec,"$45,000 ",Electric,5,310 Nm,"234.000,00"
Volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,1197 cc / 1984 cc,105 - 210 hp,217 km/h,8.4 sec,"$30,000 ",Petrol,4,200 Nm,"156.000,00"
Volkswagen,Golf Country,1.8L I4 Gas,1781 cc,98 hp,165 km/h,12.0 sec,"$25,000 ",Petrol,5,170 Nm,"130.000,00"
Volkswagen,Jetta GLI,2.0L I4 Turbo,1984 cc,228 hp,250 km/h,6.5 sec,"$31,000 ",Petrol,5,350 Nm,"161.200,00"
Volkswagen,Arteon Shooting Brake,2.0L I4 Turbo,1984 cc,150 - 320 hp,250 km/h,5.6 sec,"$50,000 ",Petrol,5,420 Nm,"260.000,00"
Volkswagen,T-Cross R-Line,1.0L I3 Turbo / 1.5L I4 Turbo,999 cc / 1498 cc,115 - 150 hp,200 km/h,8.5 sec,"$27,000 ",Petrol,5,250 Nm,"140.400,00"
Volkswagen,Golf R32,3.2L VR6,3189 cc,240 hp,250 km/h,6.2 sec,"$40,000 ",Petrol,5,320 Nm,"208.000,00"
Volkswagen,Passat B7,1.6L Diesel / 2.0L I4 Turbo,1598 cc / 1984 cc,120 - 240 hp,220 km/h,8.5 sec,"$26,000 ",Petrol,5,280 Nm,"135.200,00"
Volkswagen,Scirocco 16V,1.8L I4 Gas,1781 cc,137 hp,220 km/h,7.1 sec,"$35,000 ",Petrol,4,230 Nm,"182.000,00"
Volkswagen,Polo BlueMotion,1.2L Diesel I3,1199 cc,75 - 95 hp,190 km/h,10.5 sec,"$20,000 ",Diesel,5,210 Nm,"104.000,00"
